Anno,Mese,Cerchia,Incidenti,Morti,Feriti,month_start
2010,7,Entro la Cerchia dei Navigli,25,0,31,2010-07-01
2010,7,Senza indicazioni,33,0,38,2010-07-01
2010,8,Dalla Cerchia dei Navigli alle Mura Spagnole,13,0,19,2010-08-01
2010,8,Dalla Nuova Circonvallazione ai confini del Comune,346,1,501,2010-08-01
2010,8,Dalle Mura Spagnole alla Nuova Circonvallazione,134,2,192,2010-08-01
2010,8,Entro la Cerchia dei Navigli,10,0,11,2010-08-01
2010,8,Senza indicazioni,27,0,40,2010-08-01
2010,9,Dalla Cerchia dei Navigli alle Mura Spagnole,56,0,70,2010-09-01
2010,9,Dalla Nuova Circonvallazione ai confini del Comune,603,5,809,2010-09-01
2010,9,Dalle Mura Spagnole alla Nuova Circonvallazione,276,0,356,2010-09-01
2010,9,Entro la Cerchia dei Navigli,36,0,43,2010-09-01
2010,9,Senza indicazioni,51,0,69,2010-09-01
2010,10,Dalla Cerchia dei Navigli alle Mura Spagnole,77,0,97,2010-10-01
2010,10,Dalla Nuova Circonvallazione ai confini del Comune,655,1,904,2010-10-01
2010,10,Dalle Mura Spagnole alla Nuova Circonvallazione,335,1,446,2010-10-01
2010,10,Entro la Cerchia dei Navigli,33,0,40,2010-10-01
2010,10,Senza indicazioni,46,0,64,2010-10-01
2010,11,Dalla Cerchia dei Navigli alle Mura Spagnole,87,0,98,2010-11-01
2010,11,Dalla Nuova Circonvallazione ai confini del Comune,566,1,779,2010-11-01
2010,11,Dalle Mura Spagnole alla Nuova Circonvallazione,325,1,420,2010-11-01
2010,11,Entro la Cerchia dei Navigli,45,0,56,2010-11-01
2010,11,Senza indicazioni,52,1,76,2010-11-01
2010,12,Dalla Cerchia dei Navigli alle Mura Spagnole,51,0,62,2010-12-01
2010,12,Dalla Nuova Circonvallazione ai confini del Comune,518,3,703,2010-12-01
2010,12,Dalle Mura Spagnole alla Nuova Circonvallazione,248,1,325,2010-12-01
2010,12,Entro la Cerchia dei Navigli,29,0,37,2010-12-01
2010,12,Senza indicazioni,46,0,69,2010-12-01
2011,1,Dalla Cerchia dei Navigli alle Mura Spagnole,41,1,55,2011-01-01
2011,1,Dalla Nuova Circonvallazione ai confini del Comune,407,2,582,2011-01-01
2011,1,Dalle Mura Spagnole alla Nuova Circonvallazione,196,1,288,2011-01-01
2011,1,Entro la Cerchia dei Navigli,23,0,28,2011-01-01
2011,1,Senza indicazioni,34,0,45,2011-01-01
2011,2,Dalla Cerchia dei Navigli alle Mura Spagnole,46,0,59,2011-02-01
2011,2,Dalla Nuova Circonvallazione ai confini del Comune,479,2,651,2011-02-01
2011,2,Dalle Mura Spagnole alla Nuova Circonvallazione,249,0,324,2011-02-01
2011,2,Entro la Cerchia dei Navigli,13,0,14,2011-02-01
2011,2,Senza indicazioni,46,1,70,2011-02-01
2011,3,Dalla Cerchia dei Navigli alle Mura Spagnole,65,0,86,2011-03-01
2011,3,Dalla Nuova Circonvallazione ai confini del Comune,552,3,775,2011-03-01
2011,3,Dalle Mura Spagnole alla Nuova Circonvallazione,263,2,341,2011-03-01
2011,3,Entro la Cerchia dei Navigli,20,0,20,2011-03-01
2011,3,Senza indicazioni,95,0,129,2011-03-01
2011,4,Dalla Cerchia dei Navigli alle Mura Spagnole,56,0,70,2011-04-01
2011,4,Dalla Nuova Circonvallazione ai confini del Comune,493,1,654,2011-04-01
2011,4,Dalle Mura Spagnole alla Nuova Circonvallazione,285,0,375,2011-04-01
2011,4,Entro la Cerchia dei Navigli,28,0,35,2011-04-01
2011,4,Senza indicazioni,180,0,236,2011-04-01
2011,5,Dalla Cerchia dei Navigli alle Mura Spagnole,52,0,67,2011-05-01
2011,5,Dalla Nuova Circonvallazione ai confini del Comune,497,1,673,2011-05-01
2011,5,Dalle Mura Spagnole alla Nuova Circonvallazione,250,1,319,2011-05-01
2011,5,Entro la Cerchia dei Navigli,31,0,33,2011-05-01
2011,5,Senza indicazioni,347,1,459,2011-05-01
2011,6,Dalla Cerchia dei Navigli alle Mura Spagnole,45,0,55,2011-06-01
2011,6,Dalla Nuova Circonvallazione ai confini del Comune,379,1,506,2011-06-01
2011,6,Dalle Mura Spagnole alla Nuova Circonvallazione,191,0,263,2011-06-01
2011,6,Entro la Cerchia dei Navigli,21,0,26,2011-06-01
2011,6,Senza indicazioni,356,2,475,2011-06-01
2011,7,Dalla Cerchia dei Navigli alle Mura Spagnole,45,0,52,2011-07-01
2011,7,Dalla Nuova Circonvallazione ai confini del Comune,570,1,798,2011-07-01
2011,7,Dalle Mura Spagnole alla Nuova Circonvallazione,263,0,341,2011-07-01
2011,7,Entro la Cerchia dei Navigli,23,0,27,2011-07-01
2011,7,Senza indicazioni,32,0,40,2011-07-01
2011,8,Dalla Cerchia dei Navigli alle Mura Spagnole,17,0,20,2011-08-01
2011,8,Dalla Nuova Circonvallazione ai confini del Comune,317,4,432,2011-08-01
2011,8,Dalle Mura Spagnole alla Nuova Circonvallazione,128,0,177,2011-08-01
2011,8,Entro la Cerchia dei Navigli,13,0,14,2011-08-01
2011,8,Senza indicazioni,27,0,31,2011-08-01
2011,9,Dalla Cerchia dei Navigli alle Mura Spagnole,75,0,97,2011-09-01
2011,9,Dalla Nuova Circonvallazione ai confini del Comune,683,7,917,2011-09-01
2011,9,Dalle Mura Spagnole alla Nuova Circonvallazione,295,1,397,2011-09-01
2011,9,Entro la Cerchia dei Navigli,40,0,42,2011-09-01
2011,9,Senza indicazioni,52,0,67,2011-09-01
2011,10,Dalla Cerchia dei Navigli alle Mura Spagnole,65,0,78,2011-10-01
2011,10,Dalla Nuova Circonvallazione ai confini del Comune,676,7,922,2011-10-01
2011,10,Dalle Mura Spagnole alla Nuova Circonvallazione,367,2,469,2011-10-01
2011,10,Entro la Cerchia dei Navigli,37,0,41,2011-10-01
2011,10,Senza indicazioni,45,1,61,2011-10-01
2011,11,Dalla Cerchia dei Navigli alle Mura Spagnole,83,0,109,2011-11-01
2011,11,Dalla Nuova Circonvallazione ai confini del Comune,553,3,780,2011-11-01
2011,11,Dalle Mura Spagnole alla Nuova Circonvallazione,245,1,323,2011-11-01
2011,11,Entro la Cerchia dei Navigli,42,0,52,2011-11-01
2011,11,Senza indicazioni,43,0,68,2011-11-01
2011,12,Dalla Cerchia dei Navigli alle Mura Spagnole,58,0,63,2011-12-01
2011,12,Dalla Nuova Circonvallazione ai confini del Comune,526,1,742,2011-12-01
2011,12,Dalle Mura Spagnole alla Nuova Circonvallazione,260,1,343,2011-12-01
2011,12,Entro la Cerchia dei Navigli,24,0,27,2011-12-01
2011,12,Senza indicazioni,31,0,35,2011-12-01
2012,1,Dalla Cerchia dei Navigli alle Mura Spagnole,68,0,83,2012-01-01
2012,1,Dalla Nuova Circonvallazione ai confini del Comune,506,5,702,2012-01-01
2012,1,Dalle Mura Spagnole alla Nuova Circonvallazione,235,0,305,2012-01-01
2012,1,Entro la Cerchia dei Navigli,31,0,35,2012-01-01
2012,1,Senza indicazioni,44,0,70,2012-01-01
2012,2,Dalla Cerchia dei Navigli alle Mura Spagnole,36,0,41,2012-02-01
2012,2,Dalla Nuova Circonvallazione ai confini del Comune,427,0,593,2012-02-01
2012,2,Dalle Mura Spagnole alla Nuova Circonvallazione,188,1,246,2012-02-01
2012,2,Entro la Cerchia dei Navigli,19,0,23,2012-02-01
2012,2,Senza indicazioni,36,0,47,2012-02-01
2012,3,Dalla Cerchia dei Navigli alle Mura Spagnole,67,0,80,2012-03-01
2012,3,Dalla Nuova Circonvallazione ai confini del Comune,554,3,738,2012-03-01
2012,3,Dalle Mura Spagnole alla Nuova Circonvallazione,268,0,345,2012-03-01
2012,3,Entro la Cerchia dei Navigli,28,0,34,2012-03-01
2012,3,Senza indicazioni,36,0,41,2012-03-01
2012,4,Dalla Cerchia dei Navigli alle Mura Spagnole,34,0,37,2012-04-01
2012,4,Dalla Nuova Circonvallazione ai confini del Comune,503,3,710,2012-04-01
2012,4,Dalle Mura Spagnole alla Nuova Circonvallazione,216,2,290,2012-04-01
2012,4,Entro la Cerchia dei Navigli,16,1,17,2012-04-01
2012,4,Senza indicazioni,40,0,63,2012-04-01
2012,5,Dalla Cerchia dei Navigli alle Mura Spagnole,73,0,92,2012-05-01
2012,5,Dalla Nuova Circonvallazione ai confini del Comune,635,4,850,2012-05-01
2012,5,Dalle Mura Spagnole alla Nuova Circonvallazione,267,1,347,2012-05-01
2012,5,Entro la Cerchia dei Navigli,34,0,42,2012-05-01
2012,5,Senza indicazioni,38,0,53,2012-05-01
2012,6,Dalla Cerchia dei Navigli alle Mura Spagnole,55,0,65,2012-06-01
2012,6,Dalla Nuova Circonvallazione ai confini del Comune,571,5,761,2012-06-01
2012,6,Dalle Mura Spagnole alla Nuova Circonvallazione,288,2,380,2012-06-01
2012,6,Entro la Cerchia dei Navigli,22,0,26,2012-06-01
2012,6,Senza indicazioni,39,0,50,2012-06-01
2012,7,Dalla Cerchia dei Navigli alle Mura Spagnole,56,0,63,2012-07-01
2012,7,Dalla Nuova Circonvallazione ai confini del Comune,530,6,696,2012-07-01
2012,7,Dalle Mura Spagnole alla Nuova Circonvallazione,253,0,307,2012-07-01
2012,7,Entro la Cerchia dei Navigli,26,0,27,2012-07-01
2012,7,Senza indicazioni,37,0,48,2012-07-01
2012,8,Dalla Cerchia dei Navigli alle Mura Spagnole,18,0,22,2012-08-01
2012,8,Dalla Nuova Circonvallazione ai confini del Comune,326,2,444,2012-08-01
2012,8,Dalle Mura Spagnole alla Nuova Circonvallazione,129,0,179,2012-08-01
2012,8,Entro la Cerchia dei Navigli,12,0,14,2012-08-01
2012,8,Senza indicazioni,33,0,60,2012-08-01
2012,9,Dalla Cerchia dei Navigli alle Mura Spagnole,49,0,55,2012-09-01
2012,9,Dalla Nuova Circonvallazione ai confini del Comune,504,3,648,2012-09-01
2012,9,Dalle Mura Spagnole alla Nuova Circonvallazione,245,1,332,2012-09-01
2012,9,Entro la Cerchia dei Navigli,22,0,23,2012-09-01
2012,9,Senza indicazioni,34,0,53,2012-09-01
2012,10,Dalla Cerchia dei Navigli alle Mura Spagnole,65,1,86,2012-10-01
2012,10,Dalla Nuova Circonvallazione ai confini del Comune,626,3,831,2012-10-01
2012,10,Dalle Mura Spagnole alla Nuova Circonvallazione,319,2,394,2012-10-01
2012,10,Entro la Cerchia dei Navigli,36,0,43,2012-10-01
2012,10,Senza indicazioni,46,0,65,2012-10-01
2012,11,Dalla Cerchia dei Navigli alle Mura Spagnole,58,0,78,2012-11-01
2012,11,Dalla Nuova Circonvallazione ai confini del Comune,587,2,816,2012-11-01
2012,11,Dalle Mura Spagnole alla Nuova Circonvallazione,278,2,354,2012-11-01
2012,11,Entro la Cerchia dei Navigli,33,0,44,2012-11-01
2012,11,Senza indicazioni,43,0,57,2012-11-01
2012,12,Dalla Cerchia dei Navigli alle Mura Spagnole,61,0,81,2012-12-01
2012,12,Dalla Nuova Circonvallazione ai confini del Comune,418,4,554,2012-12-01
2012,12,Dalle Mura Spagnole alla Nuova Circonvallazione,242,0,319,2012-12-01
2012,12,Entro la Cerchia dei Navigli,39,0,42,2012-12-01
2012,12,Senza indicazioni,26,0,32,2012-12-01
2013,1,Dalla Cerchia dei Navigli alle Mura Spagnole,38,0,57,2013-01-01
2013,1,Dalla Nuova Circonvallazione ai confini del Comune,435,2,580,2013-01-01
2013,1,Dalle Mura Spagnole alla Nuova Circonvallazione,174,0,231,2013-01-01
2013,1,Entro la Cerchia dei Navigli,18,0,20,2013-01-01
2013,1,Senza indicazioni,42,2,55,2013-01-01
2013,2,Dalla Cerchia dei Navigli alle Mura Spagnole,32,0,49,2013-02-01
2013,2,Dalla Nuova Circonvallazione ai confini del Comune,404,2,541,2013-02-01
2013,2,Dalle Mura Spagnole alla Nuova Circonvallazione,177,0,210,2013-02-01
2013,2,Entro la Cerchia dei Navigli,15,0,19,2013-02-01
2013,2,Senza indicazioni,48,0,61,2013-02-01
2013,3,Dalla Cerchia dei Navigli alle Mura Spagnole,34,0,40,2013-03-01
2013,3,Dalla Nuova Circonvallazione ai confini del Comune,432,2,597,2013-03-01
2013,3,Dalle Mura Spagnole alla Nuova Circonvallazione,226,0,294,2013-03-01
2013,3,Entro la Cerchia dei Navigli,22,0,26,2013-03-01
2013,3,Senza indicazioni,41,0,54,2013-03-01
2013,4,Dalla Cerchia dei Navigli alle Mura Spagnole,44,0,59,2013-04-01
2013,4,Dalla Nuova Circonvallazione ai confini del Comune,463,0,637,2013-04-01
2013,4,Dalle Mura Spagnole alla Nuova Circonvallazione,212,2,261,2013-04-01
2013,4,Entro la Cerchia dei Navigli,21,0,29,2013-04-01
2013,4,Senza indicazioni,37,0,42,2013-04-01
2013,5,Dalla Cerchia dei Navigli alle Mura Spagnole,67,1,79,2013-05-01
2013,5,Dalla Nuova Circonvallazione ai confini del Comune,515,0,708,2013-05-01
2013,5,Dalle Mura Spagnole alla Nuova Circonvallazione,254,0,326,2013-05-01
2013,5,Entro la Cerchia dei Navigli,17,0,19,2013-05-01
2013,5,Senza indicazioni,33,0,36,2013-05-01
2013,6,Dalla Cerchia dei Navigli alle Mura Spagnole,62,0,71,2013-06-01
2013,6,Dalla Nuova Circonvallazione ai confini del Comune,572,2,768,2013-06-01
2013,6,Dalle Mura Spagnole alla Nuova Circonvallazione,256,0,335,2013-06-01
2013,6,Entro la Cerchia dei Navigli,32,0,36,2013-06-01
2013,6,Senza indicazioni,45,0,57,2013-06-01
2013,7,Dalla Cerchia dei Navigli alle Mura Spagnole,52,0,63,2013-07-01
2013,7,Dalla Nuova Circonvallazione ai confini del Comune,508,2,664,2013-07-01
2013,7,Dalle Mura Spagnole alla Nuova Circonvallazione,243,0,304,2013-07-01
2013,7,Entro la Cerchia dei Navigli,34,0,42,2013-07-01
2013,7,Senza indicazioni,43,0,47,2013-07-01
2013,8,Dalla Cerchia dei Navigli alle Mura Spagnole,17,1,24,2013-08-01
2013,8,Dalla Nuova Circonvallazione ai confini del Comune,293,0,393,2013-08-01
2013,8,Dalle Mura Spagnole alla Nuova Circonvallazione,135,0,175,2013-08-01
2013,8,Entro la Cerchia dei Navigli,4,0,5,2013-08-01
2013,8,Senza indicazioni,34,0,49,2013-08-01
2013,9,Dalla Cerchia dei Navigli alle Mura Spagnole,59,0,75,2013-09-01
2013,9,Dalla Nuova Circonvallazione ai confini del Comune,493,1,649,2013-09-01
2013,9,Dalle Mura Spagnole alla Nuova Circonvallazione,242,1,327,2013-09-01
2013,9,Entro la Cerchia dei Navigli,26,0,29,2013-09-01
2013,9,Senza indicazioni,50,0,62,2013-09-01
2013,10,Dalla Cerchia dei Navigli alle Mura Spagnole,69,0,90,2013-10-01
2013,10,Dalla Nuova Circonvallazione ai confini del Comune,554,4,760,2013-10-01
2013,10,Dalle Mura Spagnole alla Nuova Circonvallazione,294,0,375,2013-10-01
2013,10,Entro la Cerchia dei Navigli,26,0,28,2013-10-01
2013,10,Senza indicazioni,51,0,68,2013-10-01
2013,11,Dalla Cerchia dei Navigli alle Mura Spagnole,54,0,65,2013-11-01
2013,11,Dalla Nuova Circonvallazione ai confini del Comune,461,2,591,2013-11-01
2013,11,Dalle Mura Spagnole alla Nuova Circonvallazione,263,1,331,2013-11-01
2013,11,Entro la Cerchia dei Navigli,27,0,34,2013-11-01
2013,11,Senza indicazioni,53,1,71,2013-11-01
2013,12,Dalla Cerchia dei Navigli alle Mura Spagnole,40,0,44,2013-12-01
2013,12,Dalla Nuova Circonvallazione ai confini del Comune,456,2,620,2013-12-01
2013,12,Dalle Mura Spagnole alla Nuova Circonvallazione,202,0,254,2013-12-01
2013,12,Entro la Cerchia dei Navigli,30,1,41,2013-12-01
2013,12,Senza indicazioni,54,0,74,2013-12-01
2014,1,Dalla Cerchia dei Navigli alle Mura Spagnole,38,0,52,2014-01-01
2014,1,Dalla Nuova Circonvallazione ai confini del Comune,341,1,454,2014-01-01
2014,1,Dalle Mura Spagnole alla Nuova Circonvallazione,174,1,221,2014-01-01
2014,1,Entro la Cerchia dei Navigli,29,0,33,2014-01-01
2014,1,Senza indicazioni,54,0,76,2014-01-01
2014,2,Dalla Cerchia dei Navigli alle Mura Spagnole,43,0,51,2014-02-01
2014,2,Dalla Nuova Circonvallazione ai confini del Comune,414,2,549,2014-02-01
2014,2,Dalle Mura Spagnole alla Nuova Circonvallazione,173,0,236,2014-02-01
2014,2,Entro la Cerchia dei Navigli,27,0,30,2014-02-01
2014,2,Senza indicazioni,27,0,33,2014-02-01
2014,3,Dalla Cerchia dei Navigli alle Mura Spagnole,52,0,65,2014-03-01
2014,3,Dalla Nuova Circonvallazione ai confini del Comune,417,2,551,2014-03-01
2014,3,Dalle Mura Spagnole alla Nuova Circonvallazione,235,0,300,2014-03-01
2014,3,Entro la Cerchia dei Navigli,18,0,20,2014-03-01
2014,3,Senza indicazioni,37,0,43,2014-03-01
2014,4,Dalla Cerchia dei Navigli alle Mura Spagnole,54,0,65,2014-04-01
2014,4,Dalla Nuova Circonvallazione ai confini del Comune,460,4,613,2014-04-01
2014,4,Dalle Mura Spagnole alla Nuova Circonvallazione,246,0,303,2014-04-01
2014,4,Entro la Cerchia dei Navigli,20,0,25,2014-04-01
2014,4,Senza indicazioni,57,0,74,2014-04-01
2014,5,Dalla Cerchia dei Navigli alle Mura Spagnole,58,0,69,2014-05-01
2014,5,Dalla Nuova Circonvallazione ai confini del Comune,509,5,640,2014-05-01
2014,5,Dalle Mura Spagnole alla Nuova Circonvallazione,247,1,302,2014-05-01
2014,5,Entro la Cerchia dei Navigli,35,0,39,2014-05-01
2014,5,Senza indicazioni,37,0,45,2014-05-01
2014,6,Dalla Cerchia dei Navigli alle Mura Spagnole,60,0,73,2014-06-01
2014,6,Dalla Nuova Circonvallazione ai confini del Comune,478,5,641,2014-06-01
2014,6,Dalle Mura Spagnole alla Nuova Circonvallazione,228,0,296,2014-06-01
2014,6,Entro la Cerchia dei Navigli,17,0,17,2014-06-01
2014,6,Senza indicazioni,41,1,52,2014-06-01
2014,7,Dalla Cerchia dei Navigli alle Mura Spagnole,49,0,61,2014-07-01
2014,7,Dalla Nuova Circonvallazione ai confini del Comune,425,4,579,2014-07-01
2014,7,Dalle Mura Spagnole alla Nuova Circonvallazione,226,2,284,2014-07-01
2014,7,Entro la Cerchia dei Navigli,23,0,24,2014-07-01
2014,7,Senza indicazioni,46,0,68,2014-07-01
2014,8,Dalla Cerchia dei Navigli alle Mura Spagnole,14,0,18,2014-08-01
2014,8,Dalla Nuova Circonvallazione ai confini del Comune,244,0,333,2014-08-01
2014,8,Dalle Mura Spagnole alla Nuova Circonvallazione,94,0,127,2014-08-01
2014,8,Entro la Cerchia dei Navigli,1,0,1,2014-08-01
2014,8,Senza indicazioni,23,1,31,2014-08-01
2014,9,Dalla Cerchia dei Navigli alle Mura Spagnole,39,0,50,2014-09-01
2014,9,Dalla Nuova Circonvallazione ai confini del Comune,449,2,577,2014-09-01
2014,9,Dalle Mura Spagnole alla Nuova Circonvallazione,227,0,302,2014-09-01
2014,9,Entro la Cerchia dei Navigli,15,0,19,2014-09-01
2014,9,Senza indicazioni,55,1,73,2014-09-01
2014,10,Dalla Cerchia dei Navigli alle Mura Spagnole,54,2,75,2014-10-01
2014,10,Dalla Nuova Circonvallazione ai confini del Comune,483,0,646,2014-10-01
2014,10,Dalle Mura Spagnole alla Nuova Circonvallazione,234,1,298,2014-10-01
2014,10,Entro la Cerchia dei Navigli,28,0,31,2014-10-01
2014,10,Senza indicazioni,76,0,93,2014-10-01
2014,11,Dalla Cerchia dei Navigli alle Mura Spagnole,42,0,49,2014-11-01
2014,11,Dalla Nuova Circonvallazione ai confini del Comune,360,1,464,2014-11-01
2014,11,Dalle Mura Spagnole alla Nuova Circonvallazione,208,1,268,2014-11-01
2014,11,Entro la Cerchia dei Navigli,14,0,15,2014-11-01
2014,11,Senza indicazioni,106,0,149,2014-11-01
2014,12,Dalla Cerchia dei Navigli alle Mura Spagnole,35,1,46,2014-12-01
2014,12,Dalla Nuova Circonvallazione ai confini del Comune,336,1,437,2014-12-01
2014,12,Dalle Mura Spagnole alla Nuova Circonvallazione,179,0,229,2014-12-01
2014,12,Entro la Cerchia dei Navigli,15,0,21,2014-12-01
2014,12,Senza indicazioni,114,0,155,2014-12-01
2015,1,Dalla Cerchia dei Navigli alle Mura Spagnole,27,0,30,2015-01-01
2015,1,Dalla Nuova Circonvallazione ai confini del Comune,302,1,402,2015-01-01
2015,1,Dalle Mura Spagnole alla Nuova Circonvallazione,152,0,190,2015-01-01
2015,1,Entro la Cerchia dei Navigli,10,0,10,2015-01-01
2015,1,Senza indicazioni,161,1,213,2015-01-01
2015,2,Dalla Cerchia dei Navigli alle Mura Spagnole,11,0,14,2015-02-01
2015,2,Dalla Nuova Circonvallazione ai confini del Comune,135,4,173,2015-02-01
2015,2,Dalle Mura Spagnole alla Nuova Circonvallazione,64,0,80,2015-02-01
2015,2,Entro la Cerchia dei Navigli,6,0,8,2015-02-01
2015,2,Senza indicazioni,415,2,536,2015-02-01
2015,3,Dalla Cerchia dei Navigli alle Mura Spagnole,48,0,61,2015-03-01
2015,3,Dalla Nuova Circonvallazione ai confini del Comune,406,3,521,2015-03-01
2015,3,Dalle Mura Spagnole alla Nuova Circonvallazione,208,2,293,2015-03-01
2015,3,Entro la Cerchia dei Navigli,26,0,34,2015-03-01
2015,3,Senza indicazioni,36,0,58,2015-03-01
2015,4,Dalla Cerchia dei Navigli alle Mura Spagnole,50,0,65,2015-04-01
2015,4,Dalla Nuova Circonvallazione ai confini del Comune,440,2,586,2015-04-01
2015,4,Dalle Mura Spagnole alla Nuova Circonvallazione,219,0,281,2015-04-01
2015,4,Entro la Cerchia dei Navigli,22,0,22,2015-04-01
2015,4,Senza indicazioni,32,0,47,2015-04-01
2015,5,Dalla Cerchia dei Navigli alle Mura Spagnole,51,0,75,2015-05-01
