"data_giorno";"numero_transiti_giornalieri"
"2018-12-31";75579
"2018-12-30";80642
"2018-12-29";92106
"2018-12-28";102149
"2018-12-27";108274
"2018-12-26";77234
"2018-12-25";78069
"2018-12-24";108585
"2018-12-23";115190
"2018-12-22";144084
"2018-12-21";175529
"2018-12-20";182984
"2018-12-19";173913
"2018-12-18";175667
"2018-12-17";163387
"2018-12-16";135039
"2018-12-15";166165
"2018-12-14";179100
"2018-12-13";177995
"2018-12-12";171443
"2018-12-11";167976
"2018-12-10";156209
"2018-12-09";119452
"2018-12-08";125517
"2018-12-07";113373
"2018-12-06";163752
"2018-12-05";166605
"2018-12-04";163251
"2018-12-03";152114
"2018-12-02";125280
"2018-12-01";156118
"2018-11-30";171641
"2018-11-29";170583
"2018-11-28";162010
"2018-11-27";156725
"2018-11-26";151728
"2018-11-25";129105
"2018-11-24";155512
"2018-11-23";166753
"2018-11-22";167412
"2018-11-21";162204
"2018-11-20";158183
"2018-11-19";150034
"2018-11-18";125301
"2018-11-17";154726
"2018-11-16";169129
"2018-11-15";165275
"2018-11-14";162243
"2018-11-13";159799
"2018-11-12";149786
"2018-11-11";120139
"2018-11-10";156096
"2018-11-09";166696
"2018-11-08";164431
"2018-11-07";161301
"2018-11-06";156775
"2018-11-05";145622
"2018-11-04";111935
"2018-11-03";118849
"2018-11-02";114721
"2018-11-01";104695
"2018-10-31";162608
"2018-10-30";161933
"2018-10-29";142426
"2018-10-28";116046
"2018-10-27";147701
"2018-10-26";178469
"2018-10-25";168832
"2018-10-24";163044
"2018-10-23";160314
"2018-10-22";151936
"2018-10-21";118563
"2018-10-20";149724
"2018-10-19";167803
"2018-10-18";170983
"2018-10-17";165240
"2018-10-16";163801
"2018-10-15";153241
"2018-10-14";120691
"2018-10-13";152016
"2018-10-12";168651
"2018-10-11";162481
"2018-10-10";165243
"2018-10-09";163521
"2018-10-08";152871
"2018-10-07";122314
"2018-10-06";148392
"2018-10-05";169763
"2018-10-04";167546
"2018-10-03";164141
"2018-10-02";160440
"2018-10-01";148172
"2018-09-30";117304
"2018-09-29";141026
"2018-09-28";169353
"2018-09-27";170589
"2018-09-26";168145
"2018-09-25";166433
"2018-09-24";159873
"2018-09-23";131859
"2018-09-22";156605
"2018-09-21";177352
"2018-09-20";178905
"2018-09-19";174027
"2018-09-18";169964
"2018-09-17";160354
"2018-09-16";119518
"2018-09-15";139997
"2018-09-14";164920
"2018-09-13";173320
"2018-09-12";165995
"2018-09-11";161883
"2018-09-10";152001
"2018-09-09";109770
"2018-09-08";131761
"2018-09-07";151615
"2018-09-06";156135
"2018-09-05";149194
"2018-09-04";144570
"2018-09-03";134308
"2018-09-02";98350
"2018-09-01";112062
"2018-08-31";98585
"2018-08-30";108124
"2018-08-29";112517
"2018-08-28";101897
"2018-08-27";88300
"2018-08-26";68553
"2018-08-25";64164
"2018-08-24";66940
"2018-08-23";65023
"2018-08-22";63444
"2018-08-21";62790
"2018-08-20";58982
"2018-08-19";46883
"2018-08-18";49243
"2018-08-17";48966
"2018-08-16";46695
"2018-08-15";39245
"2018-08-14";51749
"2018-08-13";53301
"2018-08-12";48637
"2018-08-11";57306
"2018-08-10";68164
"2018-08-09";73398
"2018-08-08";78070
"2018-08-07";82859
"2018-08-06";81306
"2018-08-05";60533
"2018-08-04";79222
"2018-08-03";109523
"2018-08-02";122993
"2018-08-01";127310
"2018-07-31";138449
"2018-07-30";130422
"2018-07-28";100673
"2018-07-27";141531
"2018-07-26";154799
"2018-07-25";150857
"2018-07-24";146867
"2018-07-23";138516
"2018-07-22";85842
"2018-07-21";104630
"2018-07-20";141593
"2018-07-19";157655
"2018-07-18";153857
"2018-07-17";151873
"2018-07-16";138725
"2018-07-15";84317
"2018-07-14";103229
"2018-07-13";145159
"2018-07-12";161307
"2018-07-11";157463
"2018-07-10";154727
"2018-07-09";145254
"2018-07-08";91680
"2018-07-07";110480
"2018-07-06";146268
"2018-07-05";159117
"2018-07-04";159072
"2018-07-03";154273
"2018-07-02";145728
"2018-07-01";89124
"2018-06-30";109943
"2018-06-29";152025
"2018-06-28";165314
"2018-06-27";160117
"2018-06-26";157234
"2018-06-25";149242
"2018-06-24";102881
"2018-06-23";119836
"2018-06-22";155128
"2018-06-21";168569
"2018-06-20";166137
"2018-06-19";163025
"2018-06-18";155240
"2018-06-17";106607
"2018-06-16";131964
"2018-06-15";160194
"2018-06-14";167891
"2018-06-13";157351
"2018-06-12";157405
"2018-06-11";153824
"2018-06-10";106145
"2018-06-09";132113
"2018-06-08";159860
"2018-06-07";171029
"2018-06-06";169594
"2018-06-05";164832
"2018-06-04";149764
"2018-06-03";105633
"2018-06-02";116523
"2018-06-01";162509
"2018-05-31";173943
"2018-05-30";167316
"2018-05-29";165447
"2018-05-28";151648
"2018-05-27";114635
"2018-05-26";142106
"2018-05-25";165940
"2018-05-24";172331
"2018-05-23";166412
"2018-05-22";158728
"2018-05-21";154722
"2018-05-20";116923
"2018-05-19";147914
"2018-05-18";169457
"2018-05-17";171132
"2018-05-16";167022
"2018-05-15";163049
"2018-05-14";153586
"2018-05-13";121775
"2018-05-12";154625
"2018-05-11";171663
"2018-05-10";176066
"2018-05-09";167241
"2018-05-08";167336
"2018-05-07";155876
"2018-05-06";120320
"2018-05-05";147490
"2018-05-04";162419
"2018-05-03";159843
"2018-05-02";145412
"2018-05-01";100479
"2018-04-30";102949
"2018-04-29";87985
"2018-04-28";112663
"2018-04-27";142832
"2018-04-26";145984
"2018-04-25";107234
"2018-04-24";161857
"2018-04-23";152181
"2018-04-22";131652
"2018-04-21";166535
"2018-04-20";188197
"2018-04-19";189735
"2018-04-18";184579
"2018-04-17";180266
"2018-04-16";168245
"2018-04-15";123865
"2018-04-14";161367
"2018-04-13";172984
"2018-04-12";166840
"2018-04-11";163421
"2018-04-10";159670
"2018-04-09";145655
"2018-04-08";115920
"2018-04-07";151151
"2018-04-06";162680
"2018-04-05";158684
"2018-04-04";138874
"2018-04-03";124039
"2018-04-02";84347
"2018-04-01";73329
"2018-03-31";94853
"2018-03-30";122961
"2018-03-29";147857
"2018-03-28";162129
"2018-03-27";161292
"2018-03-26";149176
"2018-03-25";113016
"2018-03-24";147526
"2018-03-23";161758
"2018-03-22";163441
"2018-03-21";160327
"2018-03-20";154619
"2018-03-19";142424
"2018-03-18";110590
"2018-03-17";138553
"2018-03-16";157763
"2018-03-15";155159
"2018-03-14";155723
"2018-03-13";154321
"2018-03-12";143240
"2018-03-11";109363
"2018-03-10";137958
"2018-03-09";160115
"2018-03-08";169050
"2018-03-07";147374
"2018-03-06";145315
"2018-03-05";136013
"2018-03-04";110301
"2018-03-03";122184
"2018-03-02";127802
"2018-03-01";128227
"2018-02-28";154531
"2018-02-27";155559
"2018-02-26";148530
"2018-02-25";122291
"2018-02-24";154996
"2018-02-23";160899
"2018-02-22";166555
"2018-02-21";167344
"2018-02-20";160541
"2018-02-19";145672
"2018-02-18";108314
"2018-02-17";129369
"2018-02-16";142430
"2018-02-15";150654
"2018-02-14";156291
"2018-02-13";149721
"2018-02-12";143228
"2018-02-11";111071
"2018-02-10";136510
"2018-02-09";154312
"2018-02-08";157499
"2018-02-07";153059
"2018-02-06";146582
"2018-02-05";138566
"2018-02-04";111905
"2018-02-03";138402
"2018-02-02";153866
"2018-02-01";154034
"2018-01-31";153324
"2018-01-30";152550
"2018-01-29";142465
"2018-01-28";120635
"2018-01-26";154637
"2018-01-25";160400
"2018-01-24";154526
"2018-01-23";151228
"2018-01-22";144104
"2018-01-21";114296
"2018-01-20";144418
"2018-01-19";158478
"2018-01-18";157895
"2018-01-17";153206
"2018-01-16";150016
"2018-01-15";146553
"2018-01-14";123169
"2018-01-13";152100
"2018-01-12";157182
"2018-01-11";152936
"2018-01-10";146222
"2018-01-09";138914
"2018-01-08";127980
"2018-01-07";102439
"2018-01-06";108840
"2018-01-05";107231
"2018-01-04";104888
"2018-01-03";96796
"2018-01-02";89556
"2018-01-01";71098
"2017-12-31";75724
"2017-12-30";89812
"2017-12-29";104731
"2017-12-28";115132
"2017-12-27";110048
"2017-12-26";76568
"2017-12-25";82489
"2017-12-24";106764
"2017-12-23";140441
"2017-12-22";175494
"2017-12-21";186835
"2017-12-20";183444
"2017-12-19";181366
"2017-12-18";170477
"2017-12-17";143661
"2017-12-16";172210
"2017-12-15";184729
"2017-12-14";178993
"2017-12-13";174096
"2017-12-12";169051
"2017-12-11";148242
"2017-12-10";105337
"2017-12-09";120164
"2017-12-08";111722
"2017-12-07";115393
"2017-12-06";164869
"2017-12-05";166458
"2017-12-04";156930
"2017-12-03";130132
"2017-12-02";157508
"2017-12-01";169037
"2017-11-30";172538
"2017-11-29";165772
"2017-11-28";163821
"2017-11-27";153671
"2017-11-26";127416
"2017-11-25";154351
"2017-11-24";174223
"2017-11-23";172636
"2017-11-22";165855
"2017-11-21";151482
"2017-11-20";154528
"2017-11-19";126422
"2017-11-18";155753
"2017-11-17";169043
"2017-11-16";168126
"2017-11-15";164421
"2017-11-14";163027
"2017-11-13";152946
"2017-11-12";121095
"2017-11-11";156945
"2017-11-10";182754
"2017-11-09";166067
"2017-11-08";164028
"2017-11-07";160490
"2017-11-06";152595
"2017-11-05";112233
"2017-11-04";139281
"2017-11-03";149350
"2017-11-02";146005
"2017-11-01";114335
"2017-10-31";163878
"2017-10-30";147587
"2017-10-29";118964
"2017-10-28";145981
"2017-10-27";173084
"2017-10-26";171859
"2017-10-25";165180
"2017-10-24";164944
"2017-10-23";154720
"2017-10-22";119360
"2017-10-21";148067
"2017-10-20";168882
"2017-10-19";171075
"2017-10-18";166407
"2017-10-17";163026
"2017-10-16";154968
"2017-10-15";121862
"2017-10-14";150931
"2017-10-13";172937
"2017-10-12";173701
"2017-10-11";161036
"2017-10-10";163531
"2017-10-09";153971
"2017-10-08";121753
"2017-10-07";153726
"2017-10-06";178110
"2017-10-05";170495
"2017-10-04";166567
"2017-10-03";162904
"2017-10-02";153877
"2017-10-01";121387
"2017-09-30";150692
"2017-09-29";172646
"2017-09-28";176587
"2017-09-27";168604
"2017-09-26";168006
"2017-09-25";162305
"2017-09-24";137685
"2017-09-23";162948
"2017-09-22";181033
"2017-09-21";183437
"2017-09-20";176658
"2017-09-19";172629
"2017-09-18";160957
"2017-09-17";123542
"2017-09-16";149008
"2017-09-15";167453
"2017-09-14";175184
"2017-09-13";169453
"2017-09-12";163488
"2017-09-11";152897
"2017-09-10";108708
"2017-09-09";137194
"2017-09-08";159540
"2017-09-07";162392
"2017-09-06";158071
"2017-09-05";152392
"2017-09-04";144028
"2017-09-03";106128
"2017-09-02";113450
"2017-09-01";127835
"2017-08-31";118175
"2017-08-30";112068
"2017-08-29";106005
"2017-08-28";95304
"2017-08-27";68154
"2017-08-26";69976
"2017-08-25";71598
"2017-08-24";70763
"2017-08-23";68932
"2017-08-22";65869
"2017-08-21";61731
"2017-08-20";49612
"2017-08-19";53061
"2017-08-18";58632
"2017-08-17";58413
"2017-08-16";54248
"2017-08-15";41982
"2017-08-14";53572
"2017-08-13";44588
"2017-08-12";56112
"2017-08-11";65039
"2017-08-10";70931
"2017-08-09";74062
"2017-08-08";75989
"2017-08-07";76321
"2017-08-06";64083
"2017-08-05";79140
"2017-08-04";106947
"2017-08-03";120265
"2017-08-02";124519
"2017-08-01";127193
"2017-07-31";127691
"2017-07-30";83125
"2017-07-29";105640
"2017-07-28";141066
"2017-07-27";158121
"2017-07-26";158245
"2017-07-25";151448
"2017-07-24";141523
"2017-07-23";88645
"2017-07-22";110005
"2017-07-21";146376
"2017-07-20";165383
"2017-07-19";161572
"2017-07-18";156040
"2017-07-17";143220
"2017-07-16";89405
"2017-07-15";108244
"2017-07-14";147268
"2017-07-13";165109
"2017-07-12";165044
"2017-07-11";161562
"2017-07-10";147511
"2017-07-09";93660
"2017-07-08";110793
"2017-07-07";150801
"2017-07-06";171025
"2017-07-05";166307
"2017-07-04";163119
"2017-07-03";151325
"2017-07-02";104224
"2017-07-01";124917
"2017-06-30";156981
"2017-06-29";168528
"2017-06-28";163315
"2017-06-27";165942
"2017-06-26";154349
"2017-06-25";99231
"2017-06-24";120439
"2017-06-23";156343
"2017-06-22";170670
"2017-06-21";171236
"2017-06-20";166268
"2017-06-19";160576
"2017-06-18";111775
"2017-06-17";137614
"2017-06-16";184822
"2017-06-15";176918
"2017-06-14";169916
"2017-06-13";164690
"2017-06-12";156270
"2017-06-11";107531
"2017-06-10";136030
"2017-06-09";169139
"2017-06-08";175906
"2017-06-07";170459
"2017-06-06";164861
"2017-06-05";153503
"2017-06-04";96522
"2017-06-03";91704
"2017-06-02";90520
"2017-06-01";162489
"2017-05-31";169187
"2017-05-30";168337
"2017-05-29";157467
"2017-05-28";116967
"2017-05-27";145975
"2017-05-26";173152
"2017-05-25";177711
"2017-05-24";169098
"2017-05-23";165164
"2017-05-22";154245
"2017-05-21";118637
"2017-05-20";156676
"2017-05-19";165997
"2017-05-18";174748
"2017-05-17";166098
"2017-05-16";166243
"2017-05-15";153833
"2017-05-14";122773
"2017-05-13";155606
"2017-05-12";163634
"2017-05-11";167733
"2017-05-10";168871
"2017-05-09";165638
"2017-05-08";156709
"2017-05-07";130879
"2017-05-06";152828
"2017-05-05";173136
"2017-05-04";166520
"2017-05-03";159399
"2017-05-02";153586
"2017-05-01";103775
"2017-04-30";102828
"2017-04-29";130082
"2017-04-28";155746
"2017-04-27";154499
"2017-04-26";143135
"2017-04-25";97940
"2017-04-24";102518
"2017-04-23";91975
"2017-04-22";123772
"2017-04-21";155590
"2017-04-20";160393
"2017-04-19";155197
"2017-04-18";137398
"2017-04-17";83339
"2017-04-16";69051
"2017-04-15";99159
"2017-04-14";132084
"2017-04-13";158895
"2017-04-12";170669
"2017-04-11";166644
"2017-04-10";158323
"2017-04-09";137577
"2017-04-08";174038
"2017-04-07";188463
"2017-04-06";190496
"2017-04-05";193529
"2017-04-04";181179
"2017-04-03";166467
"2017-04-02";127047
"2017-04-01";158711
"2017-03-31";172298
"2017-03-30";171859
"2017-03-29";164288
"2017-03-28";159700
"2017-03-27";150078
"2017-03-26";118561
"2017-03-25";124699
"2017-03-24";161868
"2017-03-23";151525
"2017-03-22";158100
"2017-03-21";156922
"2017-03-20";149470
"2017-03-19";113653
"2017-03-18";146337
"2017-03-17";161051
"2017-03-16";165362
"2017-03-15";161882
"2017-03-14";159653
"2017-03-13";147979
"2017-03-12";118118
"2017-03-11";146370
"2017-03-10";159950
"2017-03-09";166273
"2017-03-08";178796
"2017-03-07";156758
"2017-03-06";146193
"2017-03-05";118194
"2017-03-04";129266
"2017-03-03";141991
"2017-03-02";152553
"2017-03-01";152667
"2017-02-28";148117
"2017-02-27";150178
"2017-02-26";133645
"2017-02-25";161027
"2017-02-24";170754
"2017-02-23";171389
"2017-02-22";163184
"2017-02-21";146428
"2017-02-20";135251
"2017-02-19";105735
"2017-02-18";131495
"2017-02-17";146282
"2017-02-16";153491
"2017-02-15";157964
"2017-02-14";161472
"2017-02-13";145332
"2017-02-12";112517
"2017-02-11";140870
"2017-02-10";178879
"2017-02-09";182056
"2017-02-08";157559
"2017-02-07";157133
"2017-02-06";147122
"2017-02-05";111529
"2017-02-04";142205
"2017-02-03";156881
"2017-02-02";155571
"2017-02-01";153711
"2017-01-31";152095
"2017-01-30";146793
"2017-01-29";113543
"2017-01-28";144261
"2017-01-27";164805
"2017-01-26";165083
"2017-01-25";157379
"2017-01-24";155028
"2017-01-23";145763
"2017-01-22";113819
"2017-01-21";145178
"2017-01-20";161022
"2017-01-19";160867
"2017-01-18";159315
"2017-01-17";158662
"2017-01-16";150747
"2017-01-15";123939
"2017-01-14";157609
"2017-01-13";159961
"2017-01-12";156248
"2017-01-11";150039
"2017-01-10";146452
"2017-01-09";137492
"2017-01-08";103517
"2017-01-07";118556
"2017-01-06";100212
"2017-01-05";113458
"2017-01-04";102589
"2017-01-03";97728
"2017-01-02";86378
"2017-01-01";75443
"2016-12-31";87302
"2016-12-30";107341
"2016-12-29";112271
"2016-12-28";114856
"2016-12-27";113149
"2016-12-26";85751
"2016-12-25";84668
"2016-12-24";122526
"2016-12-23";161497
"2016-12-22";176072
"2016-12-21";180104
"2016-12-20";177200
"2016-12-19";170132
"2016-12-18";139896
"2016-12-17";168622
"2016-12-16";188553
"2016-12-15";181800
"2016-12-14";177271
"2016-12-13";178189
"2016-12-12";162842
"2016-12-11";112953
"2016-12-10";124076
"2016-12-09";118271
"2016-12-08";112806
"2016-12-07";121354
"2016-12-06";168642
"2016-12-05";159814
"2016-12-04";133269
"2016-12-03";159125
"2016-12-02";175085
"2016-12-01";177084
"2016-11-30";170770
"2016-11-29";170931
"2016-11-28";158735
"2016-11-27";131739
"2016-11-26";166496
"2016-11-25";171010
"2016-11-24";172540
"2016-11-23";164604
"2016-11-22";162766
"2016-11-21";155056
"2016-11-20";126742
"2016-11-19";160816
"2016-11-18";173137
"2016-11-17";173416
"2016-11-16";169411
"2016-11-15";169288
"2016-11-14";158604
"2016-11-13";128743
"2016-11-12";163112
"2016-11-11";177700
"2016-11-10";176798
"2016-11-09";172409
"2016-11-08";171114
"2016-11-07";160230
"2016-11-06";119788
"2016-11-05";152276
"2016-11-04";174951
"2016-11-03";169147
"2016-11-02";156413
"2016-11-01";110087
"2016-10-31";113312
"2016-10-30";103049
"2016-10-29";135719
"2016-10-28";171253
"2016-10-27";175865
"2016-10-26";170327
"2016-10-25";161735
"2016-10-24";155994
"2016-10-23";121836
"2016-10-22";160738
"2016-10-21";192879
"2016-10-20";177117
"2016-10-19";172127
"2016-10-18";168761
"2016-10-17";160092
"2016-10-16";129160
"2016-10-15";155129
"2016-10-14";164042
"2016-10-13";172821
"2016-10-12";175023
"2016-10-11";170363
"2016-10-10";159589
"2016-10-09";123834
"2016-10-08";158246
"2016-10-07";178587
"2016-10-06";180914
"2016-10-05";175443
"2016-10-04";173074
"2016-10-03";160940
"2016-10-02";124762
"2016-10-01";155250
"2016-09-30";181654
"2016-09-29";178683
"2016-09-28";176469
"2016-09-27";175685
"2016-09-26";168548
"2016-09-25";137521
"2016-09-24";166195
"2016-09-23";188674
"2016-09-22";192986
"2016-09-21";180686
"2016-09-20";188137
"2016-09-19";170083
"2016-09-18";127240
"2016-09-17";156573
"2016-09-16";175997
"2016-09-15";172751
"2016-09-14";176067
"2016-09-13";172888
"2016-09-12";163587
"2016-09-11";112955
"2016-09-10";137854
"2016-09-09";166817
"2016-09-08";174393
"2016-09-07";168994
"2016-09-06";166884
"2016-09-05";155409
"2016-09-04";111350
"2016-09-03";130586
"2016-09-02";145470
"2016-09-01";146710
